Name,HoF status,Position,Championships,MVP,DPOY,All-Star,All-NBA,Pts,Reb,Ast,FG%,WS
Carlos Boozer,No,2,0,0,0,2,1,16.2,9.5,2.2,52.1,80.3
Bruce Bowen,No,2,3,0,0,0,0,6.1,2.8,1.2,40.9,42.9
Isiah Thomas,Yes,1,2,0,0,12,5,19.2,3.6,9.3,45.2,80.7
Larry Bird,Yes,2,3,3,0,12,10,24.3,10,6.3,49.6,145.8
Dikembe Mutombo,Yes,3,0,0,4,8,3,9.8,10.3,1,51.8,117
Shaquille O'Neal,Yes,3,4,1,0,15,14,23.7,10.9,2.5,58.2,181.7
Deron Williams,No,1,0,0,0,3,2,16.3,3.1,8.1,44.5,77.3
Dave Bing,Yes,1,0,0,0,7,3,20.3,3.8,6,44.1,68.8
Nate Thurmond,Yes,3,0,0,0,7,0,15,15,2.7,42.1,78
Ron Harper,No,1,5,0,0,0,0,13.8,4.3,3.9,44.6,65.8
Richard Jefferson,No,2,1,0,0,0,0,12.6,4,2,46.4,83
Jerry West,Yes,1,1,0,0,14,12,27,5.8,6.7,47.4,162.6
Earl Monroe,Yes,1,1,0,0,4,1,18.8,3,3.9,46.4,77.4
Al Jefferson,No,3,0,0,0,0,1,15.7,8.4,1.5,49.9,71
Horace Grant,No,2,4,0,0,1,0,11.2,8.1,2.2,50.9,118.2
AC Green,No,2,3,0,0,1,0,9.6,7.4,1.1,49.4,99.5
Dan Majerle,No,1,0,0,0,3,0,11.4,4.5,2.9,43.1,78.5
Yao Ming,Yes,3,0,0,0,8,5,19,9.2,1.6,52.4,65.9
Bob McAdoo,Yes,3,2,1,0,5,2,22.1,9.4,2.3,50.3,89.1
Sam Jones,Yes,1,10,0,0,5,3,17.7,4.9,2.5,45.6,92.3
Gail Goodrich,Yes,1,1,0,0,5,1,18.6,3.2,4.7,45.6,76.3
Bob Lanier,Yes,3,0,0,0,8,0,20.1,10.1,3.1,51.4,117.1
Manu Ginobili,Yes,1,4,0,0,2,2,13.3,3.5,3.8,44.7,106.4
Clyde Drexler,Yes,1,1,0,0,10,5,20.4,6.1,5.6,47.2,135.6
Joe Johnson,No,1,0,0,0,7,1,16,4,3.9,44.1,82.9
Mark Aguirre,No,2,2,0,0,3,0,20,5,3.1,48.4,67.8
Pau Gasol,Yes,2,2,0,0,6,4,17,9.2,3.2,50.7,144.1
Bob Dandridge,Yes,2,2,0,0,4,1,18.5,6.8,3.4,48.4,80.3
Glenn Robinson,No,2,1,0,0,2,0,20.7,6.1,2.7,45.9,39.8
Marques Johnson,No,2,0,0,0,5,3,20.1,7,3.6,51.8,79.8
Mike Bibby,No,1,0,0,0,0,0,14.7,3.1,5.5,43.6,73.2
Dave Cowens,Yes,3,2,1,0,8,3,17.6,13.6,3.8,46,86.3
Dirk Nowitzki,Yes,2,1,1,0,14,12,20.7,7.5,2.4,47.1,206.3
Larry Johnson,No,2,0,0,0,2,1,16.2,7.5,3.3,48.4,69.7
Ray Allen,Yes,1,2,0,0,10,2,18.9,4.1,3.4,45.2,145.1
Tiny Archibald,Yes,1,1,0,0,6,5,18.8,2.3,7.4,46.7,83.4
Luol Deng,No,2,0,0,0,2,0,14.8,6.1,2.3,45.6,74
Lenny Wilkens,Yes,1,0,0,0,9,0,16.5,4.7,6.7,43.2,95.5
Magic Johnson,Yes,1,5,3,0,12,10,19.5,7.2,11.2,52,155.8
Steve Nash,Yes,1,0,2,0,8,7,14.3,3,8.5,49,129.7
Larry Nance,No,2,0,0,0,3,0,17.1,8,2.6,54.6,109.6
David Robinson,Yes,3,2,1,1,10,10,21.1,10.6,2.5,51.8,178.7
Jimmy Jones,No,1,0,0,0,6,3,16.6,4.3,4.5,50.9,78.8
Stephon Marbury,No,1,0,0,0,2,2,19.3,3,7.6,43.3,77.5
Antawn Jamison,No,2,0,0,0,2,0,18.5,7.5,1.6,45.1,87.8
Glen Rice,No,2,1,0,0,3,2,18.3,4.4,2.1,45.6,88.7
George Gervin,Yes,1,0,0,0,12,7,25.1,5.3,2.6,50.4,116.3
Jason Terry,No,1,1,0,0,0,0,13.4,2.3,3.8,44.4,102
Steve Francis,No,1,0,0,0,3,0,18.1,5.6,6,42.9,54.1
Antoine Walker,No,2,1,0,0,3,0,17.5,7.7,3.5,41.4,38.1
Anthony Mason,No,2,0,0,0,1,1,10.9,8.3,3.4,50.9,88.3
Pete Maravich,Yes,1,0,0,0,5,4,24.2,4.2,5.4,44.1,46.7
Steve Kerr,No,1,5,0,0,0,0,6,1.2,1.8,47.9,47.2
James Worthy,Yes,2,3,0,0,7,2,17.6,5.1,3,52.1,81.2
Mark Eaton,No,3,0,0,2,1,0,6,7.9,1,45.8,44.8
Moses Malone,Yes,3,1,3,0,13,8,20.3,12.3,13,49.5,179.1
Alex English,Yes,2,0,0,0,8,3,21.5,5.5,3.6,50.7,100.7
Rick Mahorn,No,2,1,0,0,0,0,6.9,6.2,1,49.3,51.7
Billy Cunningham,Yes,2,1,0,0,5,4,21.2,10.4,4.3,45.2,78.6
Bill Sharman,Yes,1,4,0,0,8,7,17.8,3.9,3,42.6,82.8
Danny Manning,No,2,0,0,0,2,0,14,5.2,2.3,51.1,55.1
Paul Arizin,Yes,2,1,0,0,10,4,22.8,8.6,2.3,42.1,108.8
John Stockton,Yes,1,0,0,0,10,11,13.1,2.7,10.5,51.5,207.7
Dennis Rodman,Yes,2,5,0,2,2,2,7.3,13.1,1.8,52.1,89.8
Shawn Kemp,No,2,0,0,0,6,3,14.6,8.4,1.6,48.8,89.5
Vin Baker,No,2,0,0,0,4,2,15,7.4,1.9,48.5,47
Kevin Willis,No,2,1,0,0,1,1,12.1,8.4,0.9,48.7,81.8
Sean Elliott,No,2,1,0,0,2,0,14.2,4.3,2.6,46.5,55.7
Walt Bellamy,Yes,3,0,0,0,4,0,20.1,13.7,2.4,51.6,130
Latrell Sprewell,No,2,0,0,0,4,1,18.3,4.1,4,42.5,56.3
Sidney Moncrief,Yes,2,0,0,2,5,5,15.6,4.7,3.6,50.2,90.3
Ben Wallace,Yes,3,1,0,4,4,5,5.7,9.6,1.3,47.4,93.5
Allen Iverson,Yes,1,0,1,0,11,7,26.7,3.7,6.2,42.5,99
Kareem Abdul-Jabbar,Yes,3,6,6,0,19,15,24.6,11.2,3.6,55.9,273.4
Adrian Dantley,Yes,2,0,0,0,6,2,24.3,5.7,3,54,134.2
Nick Van Exel,No,1,0,0,0,1,0,14.4,2.9,6.6,40.5,55.9
Clifford Robinson,No,2,0,0,0,1,0,14.2,4.6,2.2,43.8,89.7
Michael Jordan,Yes,1,6,5,1,14,11,30.1,6.2,5.3,49.7,214
Scottie Pippen,Yes,2,6,0,0,7,7,16.1,6.4,5.2,47.3,125.1
Buck Williams,No,2,0,0,0,3,1,12.8,10,1.3,54.9,120.1
Jermaine O'Neal,No,2,0,0,0,6,3,13.2,7.2,1.4,46.7,66
Walt Frazier,Yes,1,2,0,0,7,6,18.9,5.9,6.1,49,113.5
Wes Unseld,Yes,3,1,1,0,5,1,10.8,14,3.9,50.9,110.1
Rod Strickland,No,1,0,0,0,0,1,13.2,3.7,7.3,45.4,85.8
Alvin Robertson,No,1,0,0,1,4,1,14,5.2,5,47.7,52.1
Walter Davis,No,1,0,0,0,6,2,18.9,3,3.8,51.1,76.9
Micheal Ray Richardson,No,1,0,0,0,4,0,14.8,5.5,7,45.7,35.2
Tim Duncan,Yes,2,5,2,0,15,15,19,10.8,3,50.6,206.4
Kevin Garnett,Yes,2,1,1,1,15,9,17.8,10,3.7,49.7,191.4
Mitch Richmond,Yes,1,1,0,0,6,5,21,3.9,3.5,45.5,79.3
Robert Parish,Yes,3,3,0,0,9,2,14.5,9.1,1.4,53.7,147
Mark Jackson,No,1,0,0,0,1,0,9.6,3.8,8,44.7,91.8
Jack Sikma,Yes,1,1,0,0,7,0,15.6,9.8,3.2,46.4,112.5
Michael Redd,No,1,0,0,0,1,1,19,3.8,2.1,44.7,55.9
Robert Horry,No,2,7,0,0,0,0,7,4.8,2.1,42.5,66.3
JJ Redick,No,1,0,0,0,0,0,12.8,2,2,44.7,63.7
Dave DeBusschere,Yes,2,2,0,0,8,1,16.1,11,2.9,43.2,60.8
Bob Cousy,Yes,1,6,1,0,13,12,18.4,5.2,7.5,37.5,91.1
Bernard King,Yes,2,0,0,0,4,4,22.5,5.8,3.3,51.8,75.4
Kevin Johnson,No,1,0,0,0,3,5,17.9,3.3,9.1,49.3,92.8
Juwan Howard,No,2,2,0,0,1,1,13.4,6.1,2.2,46.9,59.4
Elvin Hayes,Yes,2,1,0,0,12,6,21,12.5,1.8,45.2,120.8
Tom Chambers,No,2,0,0,0,4,2,18.1,6.1,2.1,46.8,79
Peja Stojakovic,No,2,1,0,0,3,1,17,4.7,1.8,45,82.6
Maurice Lucas,No,2,1,0,0,5,1,14.6,9.1,2.4,47.1,69
David Thompson,Yes,1,0,0,0,5,2,22.7,4.1,3.3,50.5,63.3
Hal Greer,Yes,1,1,0,0,10,7,19.2,5,4,45.2,102.7
Terry Porter,No,1,0,0,0,2,0,12.2,3,5.6,46.3,110.4
Bob Pettit,Yes,2,1,2,0,11,11,26.4,16.2,3,43.6,136
Grant Hill,Yes,2,0,0,0,7,5,16.7,6,4.1,48.3,99.9
Karl Malone,Yes,2,0,2,0,14,14,25,10.1,3.6,51.6,234.6
Derek Harper ,No,1,0,0,0,0,0,13.3,2.4,5.5,46.3,86.8
Vlade Divac,Yes,3,0,0,0,1,0,11.8,8.2,3.1,49.5,96.4
Baron Davis,No,1,0,0,0,2,1,16.1,3.8,7.2,40.9,63.1
Mark Price,No,1,0,0,0,4,4,15.2,2.6,6.7,47.2,71.1
Dwyane Wade,Yes,1,3,0,0,13,8,22,4.7,5.4,48,120.7
Gilbert Arenas,No,1,0,0,0,3,3,20.7,3.9,5.3,42.1,51.3
Cedric Maxwell,No,2,2,0,0,0,0,12.5,6.3,2.2,54.6,78.5
Chris Webber,Yes,2,0,0,0,5,5,20.7,9.8,4.2,47.9,84.7
Allan Houston,No,1,0,0,0,2,0,17.3,2.9,2.4,44.4,55.3
Gus Williams,No,1,1,0,0,2,2,17.1,2.7,5.6,46.1,67.9
Tony Parker,Yes,1,4,0,0,6,4,15.5,2.7,5.6,49.1,111.3
Charles Barkley,Yes,2,0,1,0,11,11,22.1,11.7,3.9,54.1,177.2
Dominique Wilkins,Yes,2,0,0,0,9,7,24.8,6.7,2.5,46.1,117.5
Bill Walton,Yes,3,2,1,0,2,2,13.3,10.5,3.4,52.1,39.3
Fat Lever,No,1,0,0,0,2,1,13.9,6,6.2,44.7,61.2
Rick Barry,Yes,2,1,0,0,12,6,24.8,6.7,4.9,45.6,128.9
Zach Randolph,No,2,0,0,0,2,1,16.6,9.1,1.8,47.1,81.1
Shawn Marion,No,2,1,0,0,4,2,15.2,8.7,1.9,48.4,124.9
Patrick Ewing,Yes,3,0,0,0,11,7,21,9.8,1.9,50.4,126.4
Marcus Camby,No,3,0,0,1,0,0,9.5,9.8,1.9,46.6,81.6
Brandon Roy,No,1,0,0,0,3,2,18.8,4.3,4.7,45.9,37.4
Elton Brand,No,2,0,0,0,2,1,15.9,8.5,2.1,50,109.6
Kobe Bryant,Yes,1,5,1,0,18,15,25,5.2,4.7,44.7,172.7
Kiki Vandeweighe,No,2,0,0,0,2,0,19.7,3.4,2.1,52.5,75.6
World B Free,No,1,0,0,0,1,1,20.3,2.7,3.7,45.6,67.7
Tracy Mcgrady,Yes,2,0,0,0,7,7,19.6,5.6,4.4,43.5,97.3
Alonzo Mourning,Yes,3,1,0,2,7,2,17.1,8.5,1.1,52.7,89.7
Elgin Baylor,Yes,2,0,0,0,11,10,27.4,13.5,4.3,43.1,104.2
Doug Christie,No,1,0,0,0,0,0,11.2,4.1,3.6,42.6,55.7
Dale Ellis,No,2,0,0,0,1,1,15.7,3.5,1.4,47.9,84.7
Kevin McHale,Yes,2,3,0,0,7,1,17.9,7.3,1.7,55.4,145.8
Roy Hibbert,No,3,0,0,0,2,0,10,6.3,1.3,46.5,35.9
Reggie Miller,Yes,1,0,0,0,5,3,18.2,3,3,47.1,174.4
Joe Dumars,Yes,1,2,0,0,6,3,16.1,2.2,4.5,46,86.2
Chris Mullin,Yes,2,0,0,0,5,4,18.2,4.1,3.5,50.9,93.1
John Havlicek,Yes,2,8,0,0,13,11,20.8,6.3,4.8,43.9,131.7
Detlef Schrempf,No,2,0,0,0,3,1,13.9,6.2,3.4,49.1,109.5
Maurice Cheeks,Yes,1,1,0,0,4,0,11.1,2.8,6.7,52.3,103.5
Gary Payton,Yes,1,1,0,1,9,9,16.3,3.9,6.7,46.6,145.5
Hakeem Olajuwon,Yes,3,2,1,2,12,12,21.8,11.1,2.5,51.2,162.8
Spencer Haywood,Yes,2,1,1,0,5,4,20.3,10.3,1.8,46.9,78.5
Derrick Coleman,No,2,0,0,0,1,2,16.5,9.3,2.5,44.7,64.3
Julius Erving,Yes,2,1,1,0,16,12,24.2,8.5,4.2,50.6,181.1
Brad Daugherty,No,3,0,0,0,5,1,19,9.5,3.7,53.2,65.2
Bill Russell,Yes,3,11,5,0,12,11,15.1,22.5,4.3,44,163.5
Paul Pierce,Yes,2,1,0,0,10,4,19.7,5.6,3.5,44.5,150
Chris Bosh,Yes,2,2,0,0,11,1,19.2,8.5,2,49.4,106
Willis Reed,Yes,3,2,1,0,7,5,18.7,12.9,1.8,47.6,74.9
Anfernee Hardaway,No,1,0,0,0,4,3,15.2,4.5,5,45.8,61.9
Ralph Sampson,Yes,3,0,0,0,4,1,15.4,8.8,2.3,48.6,20.1
Lou Hudson,Yes,1,0,0,0,6,1,20.2,4.4,2.7,48.9,81
Eddie Jones,No,1,0,0,0,3,1,14.8,4,2.9,43.7,100.6
Richard Hamilton,No,1,1,0,0,3,0,17.1,3.1,3.4,44.9,62.8
Antonio McDyess,No,2,0,0,0,1,1,12,7.5,1.3,49.7,69.8
Oscar Robertson,Yes,1,2,1,0,12,11,25.7,7.5,9.5,48.5,189.2
Tim Hardaway,Yes,1,0,0,0,5,5,17.7,3.3,8.2,43.1,85
Rasheed Wallace,No,2,1,0,0,4,0,14.4,6.7,1.8,46.7,105.1
Amar'e Stoudamire,No,2,0,0,0,6,5,18.9,7.8,1.2,53.7,92.5
Wilt Chamberlain,Yes,3,2,4,0,13,10,30.1,22.9,4.4,54,247.3
Dennis Johnson,Yes,1,3,0,0,5,2,14.1,3.9,5,44.5,82.6
